"","date","time","timezone","content","replies","retweets","likes","hashtags"
"9002","2018-04-05","16:38:32","Hora est. Pacífico, Sudamérica","La costa Caribe debe votar por mí porque mi abuela era cartagenera. Blablabla. @IvanDuque no diga qué quiere la costa Caribe sino ud qué va a hacer. #DebateCaribe","0","0","1","#DebateCaribe"
"9003","2018-04-05","16:38:32","Hora est. Pacífico, Sudamérica","Ahora todos estos hijueputas son de antepasados costeños JAJAJAJAJAJAJAJAJAJA #DebateCaribe","0","7","4","#DebateCaribe"
"9004","2018-04-05","16:38:32","Hora est. Pacífico, Sudamérica","Duque: todos tienen que pagar sin importar nada. Also Duque: Menos mi pastor Uribe, ese es intocable. #DebateCaribe","0","2","3","#DebateCaribe"
"9005","2018-04-05","16:38:32","Hora est. Pacífico, Sudamérica","Que desespero el tono de pelea y de prepotencia de algunos candidatos #DebateCaribe Qué fastidio.","0","0","0","#DebateCaribe"
"9006","2018-04-05","16:38:31","Hora est. Pacífico, Sudamérica","- Vamos Germancho di lo tuyo.- LA REGIÓN CARIBE- EEEEEEEEEEEEEEEEEEEE!#DebateCaribe","0","0","0","#DebateCaribe"
"9007","2018-04-05","16:38:30","Hora est. Pacífico, Sudamérica","Ay no mk, ahora todos con familia en la costa menos yo #DebateCaribe","2","2","7","#DebateCaribe"
"9008","2018-04-05","16:38:27","Hora est. Pacífico, Sudamérica","Duque muy malo y para aparentar que debate bien fue un gamín completo #DebateCaribe","3","9","37","#DebateCaribe"
"9009","2018-04-05","16:38:26","Hora est. Pacífico, Sudamérica","Está acabao' @IvanDuque #DebateCaribe","0","0","0","#DebateCaribe"
"9010","2018-04-05","16:38:26","Hora est. Pacífico, Sudamérica","Se burlan de la destitucion de tierras, ¿y si tengo tierras se burlaran de mi tambien? #DebateCaribe","0","0","0","#DebateCaribe"
"9011","2018-04-05","16:38:26","Hora est. Pacífico, Sudamérica","Pásenle el pañuelo a Duque, esta que llora. #DebateCaribe","0","0","2","#DebateCaribe"
"9012","2018-04-05","16:38:26","Hora est. Pacífico, Sudamérica","La costa está con @petrogustavo #DebateCaribe","0","0","0","#DebateCaribe"
"9013","2018-04-05","16:38:26","Hora est. Pacífico, Sudamérica","#DebateCaribe Lo que dice Duque de la Costa: que es alegre.Pues gracias.","0","2","2","#DebateCaribe"
