id,date,time,timezone,user_id,username,tweet,replies,retweets,likes,location,hashtags,link,retweet,user_rt
1000539244866174976,2018-05-26,19:48:39,-05,2574413075,genant93,#ColombiaDecide @maluma no sea rencoroso jajajajajajka #PetroPresidente pic.twitter.com/n63kc6Q3kn,1,,1,,"['#ColombiaDecide', '#PetroPresidente']",https://twitter.com/genant93/status/1000539244866174976,False,
1000538893501063168,2018-05-26,19:47:15,-05,334846975,redpolis,#MeDecidíPorPetro porque queremos que todos nuestros hijos puedan ingresar a la universidad de manera gratuita y con alta calidad. #ColombiaDecide #Colombia #DebateFinal #RCNRadio #ColombiaHumana #Antioquia #Caldas #Risaralda #Pereira #Cartagena #Cundinamarca,0,,13,,"['#MeDecidíPorPetro', '#ColombiaDecide', '#Colombia', '#DebateFinal', '#RCNRadio', '#ColombiaHumana', '#Antioquia', '#Caldas', '#Risaralda', '#Pereira', '#Cartagena', '#Cundinamarca']",https://twitter.com/redpolis/status/1000538893501063168,False,
1000538888014893057,2018-05-26,19:47:14,-05,119220587,Adriau,"#ColombiaDecide #EleccionesColombia2018 No falta el que mañana va y vota por Vivianne Morales. Yo los conozco, gente, y en Macondo nunca falta el rebelde sin causa, con sus actos 'folclóricos', para llevar la contraria. <Emoji: Face with tears of joy>",1,,1,,"['#ColombiaDecide', '#EleccionesColombia2018']",https://twitter.com/Adriau/status/1000538888014893057,False,
1000538836903088128,2018-05-26,19:47:02,-05,189357016,JulyTrsplcs,"#MeDecidíPorPetro Porque es un líder innato con capacidad de determinación, con carácter, firmeza, humanismo, intelecto y preparación absoluta para tomar las riendas de este país.Me llamo Julieth y quiero que @petrogustavo sea mi Presidente#ColombiaDecide",0,,1,,"['#MeDecidíPorPetro', '#ColombiaDecide']",https://twitter.com/JulyTrsplcs/status/1000538836903088128,False,
1000538810478931968,2018-05-26,19:46:56,-05,905925847483285504,WhaleandJaguar,"De los siguientes candidatos, cuál cree que es el que mayor porcentaje de tweets ha borrado en el último mes, es decir, el mes del #estrés? #StressTest de las #EleccionesColombia Voten ya en esta encuesta y anunciaremos el resultado <Emoji: Thinking face> #ColombiaDecide",0,,3,,"['#estrés', '#StressTest', '#EleccionesColombia', '#ColombiaDecide']",https://twitter.com/WhaleandJaguar/status/1000538810478931968,False,
1000538723853926400,2018-05-26,19:46:35,-05,118834453,ECUADORXDENTRO,Debate presidencial: ¿cómo será la relación con Nicolás Maduro? | Noticias Caracol  https://noticias.caracoltv.com/colombia-decide-2018/debate-presidencial-como-sera-la-relacion-con-nicolas-maduro-ie133 … por @NoticiasCaracol #colombiadecide,0,,0,,['#colombiadecide'],https://twitter.com/ECUADORXDENTRO/status/1000538723853926400,False,
1000538666362658818,2018-05-26,19:46:21,-05,63627704,rojasfranco,@invaristi02 Pana Jorge como ves tu realmente las elecciones en mi Bello Pais #ColombiaDecide,0,,0,,['#ColombiaDecide'],https://twitter.com/rojasfranco/status/1000538666362658818,False,
1000538606107230213,2018-05-26,19:46:07,-05,82233475,Josecuadrado7,Mañana hay que salir a votar convencidos de que hemos tomado nuestra mejor decisión. #ColombiaDecide,0,,1,,['#ColombiaDecide'],https://twitter.com/Josecuadrado7/status/1000538606107230213,False,
1000538557633781760,2018-05-26,19:45:55,-05,331006868,ambatistam,Es tendencia! #ConFajardoEnLaPrimera #ConFajardoGanamos #ConFajardoSePuede #sepuede #ColombiaDecide2018 #ColombiaDecide #EleccionesPresidenciales2018 @_CoalicionCol @sergio_fajardo @ClaudiaLopez https://twitter.com/WhaleandJaguar/status/1000407976732016640 …,0,,1,,"['#ConFajardoEnLaPrimera', '#ConFajardoGanamos', '#ConFajardoSePuede', '#sepuede', '#ColombiaDecide2018', '#ColombiaDecide', '#EleccionesPresidenciales2018']",https://twitter.com/ambatistam/status/1000538557633781760,False,
1000538403031736320,2018-05-26,19:45:19,-05,2421990245,dianacandonga,Ese 10% de descuentos con tu certificado de votación <Emoji: Ballot box with ballot> es 100% en mi corazón. Vengache pa’ca. #Poetuit <Emoji: Heavy red heart>#ColombiaDecide,0,,2,,"['#Poetuit', '#ColombiaDecide']",https://twitter.com/dianacandonga/status/1000538403031736320,False,
